name,weight,measure,protein-gm,protein-unit,protein-value,fat-gm,fat-unit,fat-value,carb-gm,carb-unit,carb-value
"Alcoholic Beverage, wine, table, red, Merlot",29.4,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.51,g,0.74
"Alcoholic Beverage, wine, table, red, Mouvedre",29.4,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.64,g,0.78
"Alcoholic Beverage, wine, table, red, Petite Sirah",29.5,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.68,g,0.79
"Alcoholic Beverage, wine, table, red, Pinot Noir",29.4,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.31,g,0.68
"Alcoholic Beverage, wine, table, red, Sangiovese",29.4,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.62,g,0.77
"Alcoholic Beverage, wine, table, red, Syrah",29.4,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.58,g,0.76
"Alcoholic Beverage, wine, table, red, Zinfandel",29.4,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.86,g,0.84
"Alcoholic beverage, wine, table, white",29.4,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.6,g,0.76
"Alcoholic beverage, wine, table, white, Chardonnay",29.3,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.16,g,0.63
"Alcoholic beverage, wine, table, white, Chenin Blanc",29.5,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,3.31,g,0.98
"Alcoholic beverage, wine, table, white, Fume Blanc",29.3,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.27,g,0.67
"Alcoholic beverage, wine, table, white, Gewurztraminer",29.5,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,2.6,g,0.77
"Alcoholic beverage, wine, table, white, late harvest",30.8,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,13.39,g,4.12
"Alcoholic beverage, wine, table, white, late harvest, Gewurztraminer",30.5,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,11.39,g,3.47
"Alcoholic beverage, wine, table, white, Muller Thurgau",29.5,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,3.48,g,1.03
"Alcoholic beverage, wine, table, white, Muscat",30.0,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,5.23,g,1.57
"Alcoholic beverage, wine, table, white, Pinot Blanc",29.3,1.0 fl oz,0.07,g,0.02,0.0,g,0.00,1.94,g,0.57
